start;edge;end
Reservoir1;0500-NC-3;Av2
Reservoir2;0490-NC-6;Bv2
Reservoir3;0500-NC-5;Cv2
Reservoir4;0498-NC-1;Dv2
Reservoir6;0498-NC-2;Ev2
Av1;0289-NN-3;M1.1
Bv1;0289-NN-1;M1.2
Cv1;0290-NN-4;M1.3
Dv1;0290-NN-2;M1.4
Ev1;0290-NN-6;M1.5
M1.0;0404-NT-1;V3.0
V3.7;1395-CT-1;Reservoir5
V3.8;2602-NT-1;densioViscoIN
densioViscoOUT;3439-NT-2;Reservoir5
A0.0;0215-NN-1;A0.1
B0.0;0216-NN-1;B0.1
C0.0;0213-NN-1;C0.1
D0.0;0216-NN-2;D0.1
E0.0;0214-NN-1;E0.1
